classroom_id,student_id,cond,classroom_latent_understood,classroom_latent_grade,student_understood,grade
1,1,-1,-0.890272508486109,-0.879416612282691,-0.6849103063334987,-1.819465491276734
1,2,-1,-0.890272508486109,-0.879416612282691,0.08509844638199598,1.6382661426359633
1,3,-1,-0.890272508486109,-0.879416612282691,1.9604567359680962,1.0489050334711258
1,4,-1,-0.890272508486109,-0.879416612282691,0.30767197680439984,-2.3107102845669787
1,5,-1,-0.890272508486109,-0.879416612282691,-0.45835887312806206,-0.9015624649558507
2,1,1,1.6230667706384243,1.2436530257264762,0.8944621579329965,-1.4076847392004337
2,2,1,1.6230667706384243,1.2436530257264762,2.775029437512993,0.2082595349303331
2,3,1,1.6230667706384243,1.2436530257264762,-0.0965281279440281,0.7340130145499397
2,4,1,1.6230667706384243,1.2436530257264762,0.6559694002449846,-0.7610945988372592
2,5,1,1.6230667706384243,1.2436530257264762,0.6695941850702994,0.010853164648181701
3,1,-1,0.027182401045820842,1.7193892828056094,-0.5106885194797691,-0.8871914970241341
3,2,-1,0.027182401045820842,1.7193892828056094,-0.9010358853830918,0.4021727225888231
3,3,-1,0.027182401045820842,1.7193892828056094,0.20407240411337743,-1.0144545722116807
3,4,-1,0.027182401045820842,1.7193892828056094,-1.2465131114173287,-0.5038476391139499
3,5,-1,0.027182401045820842,1.7193892828056094,0.12946722797299828,2.0023458046204032
